Name,log(MBh/Msol),E_log(MBh/Msol)_upper,E_log(MBh/Msol)_lower,psi_deg,E_psi_upper,E_psi_lower,ref
NGC4045,7.949,0.176,0.301,25,15,15,"2,4"
NGC4051,6.1,0.25,0.25,30.12,8.52,8.52,"1,3"
NGC4067,7.663,0.176,0.301,21.41,5.97,5.97,"2,3"
NGC4133,7.383,0.176,0.301,18.8,10.64,10.64,"2,3"
NGC4138,7.581,0.176,0.301,5,15,5,"2,4"
NGC4156,8.489,0.176,0.301,25,15,15,"2,4"
NGC4165,7.196,0.176,0.301,20.14,8.06,8.06,"2,3"
NGC4180,7.855,0.176,0.301,15,25,15,"2,4"
NGC4210,7.843,0.176,0.301,25,15,15,"2,4"
NGC4210,7.843,0.176,0.301,12.25,7.31,7.31,"2,3"
NGC4212,5.99,0.42,0.42,15,15,5,"1,4"
NGC4212,5.99,0.42,0.42,18.4,9.32,9.32,"1,3"
NGC4226,8.535,0.176,0.301,25,15,15,"2,4"
